flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_seg_size_avg,bwd_seg_size_avg,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwr_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,win_byts_tot,fwd_win_tot,bwd_win_tot,win_byts_mean,fwd_win_mean,bwd_win_mean,win_byts_std,fwd_win_std,bwd_win_std,win_byts_max,fwd_win_max,bwd_win_max,win_byts_min,fwd_win_min,bwd_win_min,zero_win_cnt,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,label
4551,2823994.7264337507,2636.7831245880025,1538.1234893430014,1098.659635245001,7,5,751,12101,347,66,107.28571428571429,97.90186674,7306,66,2420.2,3005.458527,7306,66,1071,2251.553500733808,5069493.166666667,232,168,32,73.28571428571429,2386.2,1,413.72727272727275,2141,0,626.6824759157022,4551,2141,0,758.5,714.3824255957029,4305,2454,1,1076.25,978.7952735378324,1,2,0,0,2,2,0,3,11,0,0,0,0.7142857142857143,1071,64240,65535,133226,67167,66059,11102.166666666666,9595.285714285714,13211.8,24055.518610890285,22308.619536687005,26161.599999999995,65535,64240,65535,131,447,131,0,4551,4551,4551,0,0,0,0,0,0,0,0,0,0,0,0,0,slowread
24860248,520.0269924901795,0.5229231824236026,0.28157402130501674,0.2413491611185858,7,6,761,12167,347,60,108.71428571428571,97.40741286797761,7306,66,2027.8333333333333,2880.4644542542483,7306,60,994.4615384615385,2179.4115513273696,4749834.7100591725,236,200,26,74.71428571428571,1993.8333333333333,2,2071687.3333333333,18993914,2,5208704.570031854,24860248,19042542,412,4143374.6666666665,6781250.418656913,22812963,18993914,2,4562592.6,7365477.1083398415,1,2,0,0,2,4,1,3,9,0,0,0,0.8571428571428571,994.4615384615385,64240,65535,260416,194226,66190,20032,27746.571428571428,11031.666666666666,29689.881117465437,31604.66337586972,24374.63166673271,65535,64240,65535,0,0,131,1,5865801,533,2933167,2932634,18993914,18993914,18993914,0,1.75,1.5,190.25,3041.75,0,0,0,0,slowread
24230561,530.4870985034147,0.4952423511779195,0.24762117558895974,0.24762117558895974,6,6,687,12167,347,60,114.5,104.09250693493745,7306,66,2027.8333333333333,2880.4644542542483,7306,60,1071.1666666666667,2251.4809508903736,5069166.472222221,196,200,26,80.5,1993.8333333333333,2,2202778.272727273,19189388,21,5490697.465504361,24230561,19237413,38,4846112.2,7340563.201207695,23202565,19189388,21,4640513,7438405.604933224,1,2,0,0,2,3,1,3,9,0,0,0,1,1071.1666666666667,64240,65535,196176,129986,66190,16348,21664.333333333332,11031.666666666666,27901.83386147465,30106.06577677588,24374.63166673271,65535,64240,65535,0,0,131,1,5040743,430,2520586.5,2520156.5,19189388,19189388,19189388,0,2,2,229,4055.6666666666665,0,0,0,0,slowread
26236608,484.59008115683247,0.38114683117573733,0.19057341558786867,0.19057341558786867,5,5,613,12101,347,60,122.6,112.28820062678001,7306,66,2420.2,3005.458527,7306,60,1271.4,2417.113203803248,5842436.24,156,168,26,88.6,2386.2,2,2915178.6666666665,21082601,45,6617195.655923738,26236608,21125835,325,6559152,8664634.191,26235841,21082601,60,6558960.25,8644705.902595656,1,2,0,0,1,2,1,3,8,0,0,0,1,1271.4,64240,65535,131805,65746,66059,13180.5,13149.2,13211.8,25855.72021526378,25546.13986026069,26161.599999999995,65535,64240,65535,0,0,131,1,42452,782,15323.666666666666,19199.224955421738,21082601,5108036,13095318.5,7987282.5,2.5,2.5,306.5,6050.5,0,0,0,0,slowread
28133404,459.8092715691283,0.462084147,0.28435947530558336,0.1777246720659896,8,5,835,12101,347,60,104.375,91.83672672193843,7306,66,2420.2,3005.458527,7306,60,995.0769230769231,2179.1504153096867,4748696.533,276,168,26,70.375,2386.2,2,2344450.3333333335,23149350,26,6301627.682747865,28133404,23193065,389,4019057.714285714,7850731.115277276,25036073,23149350,26,6259018.25,9781934.231300484,1,2,0,0,1,5,1,3,8,0,0,0,0.625,995.0769230769231,64240,65535,324525,258466,66059,24963.46153846154,32308.25,13211.8,31257.619286812136,31932.119933344544,26161.599999999995,65535,64240,65535,0,0,131,1,4983745,309,2492027,2491718,23149350,23149350,23149350,0,1.6,1,167,2420.2,0,0,0,0,slowread
23195962,548.1126413295555,0.4311095181135406,0.2155547590567703,0.2155547590567703,5,5,613,12101,347,60,122.6,112.28820062678001,7306,66,2420.2,3005.458527,7306,60,1271.4,2417.113203803248,5842436.24,156,168,26,88.6,2386.2,2,2577329.111111111,18186097,4,5730872.560076644,23195962,18230787,264,5798990.5,7457922.026820691,23195529,18186097,4,5798882.25,7438098.595858164,1,2,0,0,1,2,1,3,8,0,0,0,1,1271.4,64240,65535,131805,65746,66059,13180.5,13149.2,13211.8,25855.72021526378,25546.13986026069,26161.599999999995,65535,64240,65535,0,0,131,1,5009466,399,2504932.5,2504533.5,18186097,18186097,18186097,0,2.5,2.5,306.5,6050.5,0,0,0,0,slowread
25233282,503.8583566,0.3963019951189861,0.19815099755949306,0.19815099755949306,5,5,613,12101,347,60,122.6,112.28820062678001,7306,66,2420.2,3005.458527,7306,60,1271.4,2417.113203803248,5842436.24,156,168,26,88.6,2386.2,2,2803698,20988469,27,6560866.092,25233282,21033002,338,6308320.5,8672387.609108968,25232326,20988469,156,6308081.5,8650845.384329688,1,2,0,0,1,2,1,3,8,0,0,0,1,1271.4,64240,65535,131805,65746,66059,13180.5,13149.2,13211.8,25855.72021526378,25546.13986026069,26161.599999999995,65535,64240,65535,0,0,131,1,4243728,1085,2122406.5,2121321.5,20988469,20988469,20988469,0,2.5,2.5,306.5,6050.5,0,0,0,0,slowread
51586158,200.71275709270694,0.5040111729196813,0.3489308120213178,0.15508036089836347,18,8,8654,1700,1514,66,480.77777777777777,641.6593554177027,642,66,212.5,248.0075603686307,1514,66,398.2307692307692,565.0650955,319298.5621301775,648,276,32,446.77777777777777,178.5,6,2063446.32,24153787,19,4888564.508995815,47286647,24154406,677,2781567.470588235,5708161.795,32048451,24153787,19,4578350.142857143,8135393.704883134,1,1,0,0,0,10,1,2,17,0,0,0,0.4444444444444444,398.2307692307692,1152,65535,84966,18432,66534,3267.923076923077,1024,8316.75,12463.09971606359,362.03867196751236,21626.466024006328,65535,1152,65535,0,0,134,2,11300827,884005,6398503.666666667,4274623.892,24153787,8236860,16195323.5,7958463.5,1.6363636363636365,0.7272727272727273,786.7272727272727,154.54545454545453,7394,6,0,0,slowread
51598251,200.6657164,0.5038930486229078,0.3488490336620131,0.1550440149608947,18,8,8654,1700,1514,66,480.77777777777777,641.6593554177027,642,66,212.5,248.0075603686307,1514,66,398.2307692307692,565.0650955,319298.5621301775,648,276,32,446.77777777777777,178.5,6,2063930.04,24154587,15,4889881.6469437005,47298719,24155086,676,2782277.588235294,5709701.379400463,32048510,24154587,15,4578358.571428572,8135694.333041892,1,1,0,0,0,10,1,2,17,0,0,0,0.4444444444444444,398.2307692307692,1152,65535,84966,18432,66534,3267.923076923077,1024,8316.75,12463.09971606359,362.03867196751236,21626.466024006328,65535,1152,65535,0,0,134,2,11312899,884146,6402302.333333333,4279140.789548944,24154587,8236757,16195672,7958915,1.6363636363636365,0.7272727272727273,786.7272727272727,154.54545454545453,7394,6,0,0,slowread
51601474,200.6531829,0.5038615757371582,0.3488272447411095,0.15503433099604866,18,8,8654,1700,1514,66,480.77777777777777,641.6593554177027,642,66,212.5,248.0075603686307,1514,66,398.2307692307692,565.0650955,319298.5621301775,648,276,32,446.77777777777777,178.5,6,2064058.96,24155200,19,4889959.980159474,47301762,24155989,676,2782456.588235294,5709845.673376667,32048703,24155200,19,4578386.142857143,8135923.582981545,1,1,0,0,0,10,1,2,17,0,0,0,0.4444444444444444,398.2307692307692,1152,65535,84966,18432,66534,3267.923076923077,1024,8316.75,12463.09971606359,362.03867196751236,21626.466024006328,65535,1152,65535,0,0,134,2,11315942,884155,6403172.333333333,4280280.144908457,24155200,8236757,16195978.5,7959221.5,1.6363636363636365,0.7272727272727273,786.7272727272727,154.54545454545453,7394,6,0,0,slowread
