flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_seg_size_avg,bwd_seg_size_avg,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwr_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,win_byts_tot,fwd_win_tot,bwd_win_tot,win_byts_mean,fwd_win_mean,bwd_win_mean,win_byts_std,fwd_win_std,bwd_win_std,win_byts_max,fwd_win_max,bwd_win_max,win_byts_min,fwd_win_min,bwd_win_min,zero_win_cnt,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,label
3956.0000000000005,3234833.164812942,3033.367037411527,1769.464105156724,1263.9029322548026,7,5,696,12101,292,66,99.42857142857143,78.66539835251065,7306,66,2420.2,3005.458527,7306,66,1066.4166666666667,2253.0780966762386,5076360.909722223,232,168,32,65.42857142857143,2386.2,1,359.6363636363636,1604,24,439.4606762275929,3956,1604,91,659.3333333333334,498.40400836626054,3491,1872,24,872.75,725.3128204437035,1,2,0,0,2,2,0,3,11,0,0,0,0.7142857142857143,1066.4166666666667,64240,65535,133226,67167,66059,11102.166666666666,9595.285714285714,13211.8,24055.518610890285,22308.619536687005,26161.599999999995,65535,64240,65535,131,447,131,0,3956,3956,3956,0,0,0,0,0,0,0,0,0,0,0,0,0,slowread
26840339,479.6139124770369,0.48434559638013513,0.2608014749739189,0.2235441214062162,7,6,706,12167,292,60,100.85714285714286,78.19285421,7306,66,2027.8333333333333,2880.4644542542483,7306,60,990.2307692307693,2180.717318606114,4755528.023668639,236,200,26,66.85714285714286,1993.8333333333333,2,2236694.9166666665,21005624,3,5753877.217599225,26840339,21047398,345,4473389.833333333,7516724.8172004055,24785942,21005624,3,4957188.4,8156566.688069059,1,2,0,0,2,4,1,3,9,0,0,0,0.8571428571428571,990.2307692307693,64240,65535,260416,194226,66190,20032,27746.571428571428,11031.666666666666,29689.881117465437,31604.66337586972,24374.63166673271,65535,64240,65535,0,0,131,1,5834039,676,2917357.5,2916681.5,21005624,21005624,21005624,0,1.75,1.5,176.5,3041.75,0,0,0,0,slowread
24218726,525.4198755128573,0.45419399847869785,0.2064518174903172,0.24774218098838063,5,6,558,12167,292,60,111.6,90.30968940263276,7306,66,2027.8333333333333,2880.4644542542483,7306,60,1156.8181818181818,2332.3347965731214,5439785.603305784,156,200,26,77.6,1993.8333333333333,2,2421872.6,19171601,5,5778281.192834461,24218726,19217872,625,6054681.5,7868897.408231363,24218377,19171601,5,4843675.4,7425534.263089562,1,2,0,0,2,2,1,3,9,0,0,0,1.2,1156.8181818181818,64240,65535,131936,65746,66190,11994.181818181818,13149.2,11031.666666666666,24936.26652385558,25546.13986026069,24374.63166673271,65535,64240,65535,0,0,131,1,5046740,385,2523562.5,2523177.5,19171601,19171601,19171601,0,2.5,3,279,6083.5,0,0,0,0,slowread
25169208,505.5780857307866,0.43704196016020846,0.1986554364364584,0.23838652372375005,5,6,558,12167,292,60,111.6,90.30968940263276,4410,66,2027.8333333333333,2004.312884,4410,60,1156.8181818181818,1762.1992879860416,3105346.330578512,156,200,26,77.6,1993.8333333333333,2,2516920.8,19976995,2,6017999.106,25169208,20022729,656,6292302,8200114.1428102385,25169042,19976995,2,5033808.4,7736713.039,1,3,0,0,2,2,1,4,9,0,0,0,1.2,1156.8181818181818,64240,65535,131936,65746,66190,11994.181818181818,13149.2,11031.666666666666,24936.26652385558,25546.13986026069,24374.63166673271,65535,64240,65535,0,0,131,1,45491,243,17079.666666666668,20204.373409954806,19976995,5140974,12558984.5,7418010.5,2.5,3,279,6083.5,0,0,0,0,slowread
27028627,473.8309496816098,0.44397371719991546,0.2589846683666174,0.18498904883329811,7,5,706,12101,292,60,100.85714285714286,78.19285421,7306,66,2420.2,3005.458527,7306,60,1067.25,2252.710927046196,5074706.520833333,236,168,26,66.85714285714286,2386.2,2,2457147.909090909,22092114,44,6265598.651669266,27028627,22136278,740,4504771.166666667,7941895.687419501,24982823,22092114,44,6245705.75,9224563.730253002,1,2,0,0,1,4,1,3,8,0,0,0,0.7142857142857143,1067.25,64240,65535,260285,194226,66059,21690.416666666668,27746.571428571428,13211.8,30318.178786162636,31604.66337586972,26161.599999999995,65535,64240,65535,0,0,131,1,4936153,360,2468256.5,2467896.5,22092114,22092114,22092114,0,1.75,1.25,176.5,3025.25,0,0,0,0,slowread
23212874,545.3439328538121,0.4307954284333771,0.21539771421668855,0.21539771421668855,5,5,558,12101,292,60,111.6,90.30968940263276,7306,66,2420.2,3005.458527,7306,60,1265.9,2419.2719752024577,5852876.890000001,156,168,26,77.6,2386.2,2,2579208.222222222,18165241,24,5725159.952331032,23212874,18222895,269,5803218.5,7454083.223467608,23212724,18165241,109,5803181,7428548.397,1,2,0,0,1,2,1,3,8,0,0,0,1,1265.9,64240,65535,131805,65746,66059,13180.5,13149.2,13211.8,25855.72021526378,25546.13986026069,26161.599999999995,65535,64240,65535,0,0,131,1,5047409,224,2523816.5,2523592.5,18165241,18165241,18165241,0,2.5,2.5,279,6050.5,0,0,0,0,slowread
24127992,524.6603198475862,0.41445637084097176,0.20722818542048588,0.20722818542048588,5,5,558,12101,292,60,111.6,90.30968940263276,7306,66,2420.2,3005.458527,7306,60,1265.9,2419.2719752024577,5852876.890000001,156,168,26,77.6,2386.2,2,2680888,19900296,36,6225520.515410918,24127992,19945942,736,6031998,8212422.055652492,24127415,19900296,42,6031853.75,8190575.502090936,1,2,0,0,1,2,1,3,8,0,0,0,1,1265.9,64240,65535,131805,65746,66059,13180.5,13149.2,13211.8,25855.72021526378,25546.13986026069,26161.599999999995,65535,64240,65535,0,0,131,1,4227113,583,2113848,2113265,19900296,19900296,19900296,0,2.5,2.5,279,6050.5,0,0,0,0,slowread
21067298,604.0167087397729,0.5221362511699412,0.23733465962270053,0.28480159154724066,5,6,558,12167,292,60,111.6,90.30968940263276,4410,66,2027.8333333333333,2004.312884,4410,60,1156.8181818181818,1762.1992879860416,3105346.330578512,156,200,26,77.6,1993.8333333333333,2,2106729.8,15145443,32,4684912.499701222,21067298,15189920,909,5266824.5,6210015.967981503,21067133,15145443,32,4213426.6,5926552.8099186495,1,3,0,0,2,2,1,4,9,0,0,0,1.2,1156.8181818181818,64240,65535,131936,65746,66190,11994.181818181818,13149.2,11031.666666666666,24936.26652385558,25546.13986026069,24374.63166673271,65535,64240,65535,0,0,131,1,44090,387,16608,19537.922833982804,15145443,5872031,10508737,4636706,2.5,3,279,6083.5,0,0,0,0,slowread
52693529,286.8283883586541,0.4744415580896091,0.3605755841481029,0.11386597394150617,19,6,13558,1556,1514,66,713.5789474,685.2981153667415,642,66,259.3333333333333,270.60097725043215,1514,66,604.56,641.9748331515808,412131.6864,672,200,32,679.5789474,225.33333333333334,9,2195563.7083333335,19692551,17,4173008.875791668,45687938,19694152,726,2538218.777777778,4525525.399827511,41308459,19692551,61,8261691.8,7861375.581299379,2,1,0,0,0,9,1,3,17,0,0,0,0.3157894736842105,604.56,1152,65535,86965,20736,66229,3478.6,1091.3684210526317,11038.166666666666,12674.863319184156,257.23800376639036,24371.72487683673,65535,1152,65535,0,0,134,1,18860248,1135,6287655.666666667,8890165.297883736,19692551,7005591,11276854,5951021.671145608,1.5833333333333333,0.5,1129.8333333333333,129.66666666666666,6844,5,0,0,slowread
52704763,286.76725099778935,0.4743404310536412,0.36049872760076734,0.1138417034528739,19,6,13558,1556,1514,66,713.5789474,685.2981153667415,642,66,259.3333333333333,270.60097725043215,1514,66,604.56,641.9748331515808,412131.6864,672,200,32,679.5789474,225.33333333333334,9,2196031.7916666665,19698900,4,4174115.6521884766,45698347,19700231,663,2538797.0555555555,4526728.495,41315343,19698900,4,8263068.6,7863215.827223302,2,1,0,0,0,9,1,3,17,0,0,0,0.3157894736842105,604.56,1152,65535,86965,20736,66229,3478.6,1091.3684210526317,11038.166666666666,12674.863319184156,257.23800376639036,24371.72487683673,65535,1152,65535,0,0,134,1,18864577,1140,6289009,8892269.410343384,19698900,7006416,11279245.333333334,5953817.138690401,1.5833333333333333,0.5,1129.8333333333333,129.66666666666666,6844,5,0,0,slowread
