flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_seg_size_avg,bwd_seg_size_avg,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwr_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,win_byts_tot,fwd_win_tot,bwd_win_tot,win_byts_mean,fwd_win_mean,bwd_win_mean,win_byts_std,fwd_win_std,bwd_win_std,win_byts_max,fwd_win_max,bwd_win_max,win_byts_min,fwd_win_min,bwd_win_min,zero_win_cnt,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,label
23499,558449.2957147113,765.9900421294524,425.5500234052513,340.4400187,10,8,824,12299,222,66,82.4,46.59442026680877,2962,66,1537.375,1425.649583304046,2962,66,729.0555555555555,1194.6687347555678,1427233.3858024692,328,264,32,48.4,1503.375,1,1382.2941176470588,11530,0,3275.952735504515,23499,11530,0,2611,4163.43504,23230,11844,7,3318.5714285714284,5077.345449772601,1,5,0,0,2,2,0,6,17,0,0,0,0.8,729.0555555555555,64240,65535,135042,68590,66452,7502.333333333333,6859,8306.5,20290.542813504686,19127.010310030157,21630.33984360856,65535,64240,65535,131,450,131,0,23499,23499,23499,0,0,0,0,0,0,0,0,0,0,0,11763,5,slowloris
20375831,64.39001187239921,0.4907775295152379,0.24538876475761895,0.24538876475761895,5,5,492,820,220,66,98.4,60.878896179217975,548,66,164,192.0249983726077,548,66,131.2,146.17031162311997,21365.760000000002,168,168,32,64.4,130,1,2263981.222222222,20330469,22,6387476.4985229885,20375809,20330789,321,5093952.25,8796999.722130079,20375761,20330469,123,5093940.25,8796822.023,1,1,0,0,2,2,0,2,9,0,0,0,1,131.2,64240,65535,132305,66246,66059,13230.5,13249.2,13211.8,25830.65461133341,25495.400003922277,26161.599999999995,65535,64240,65535,131,501,131,0,33431,11931,22681,10750,20330469,20330469,20330469,0,5,5,492,820,0,0,0,0,slowloris
20364641,64.42539301331165,0.49104720284536324,0.24552360142268162,0.24552360142268162,5,5,492,820,220,66,98.4,60.878896179217975,548,66,164,192.0249983726077,548,66,131.2,146.17031162311997,21365.760000000002,168,168,32,64.4,130,1,2262737.888888889,20319492,19,6384035.090473709,20364604,20319617,443,5091151,8792166.783562258,20364609,20319492,67,5091152.25,8792094.037182223,1,1,0,0,2,2,0,2,9,0,0,0,1,131.2,64240,65535,132305,66246,66059,13230.5,13249.2,13211.8,25830.65461133341,25495.400003922277,26161.599999999995,65535,64240,65535,131,501,131,0,33205,11944,22574.5,10630.5,20319492,20319492,20319492,0,5,5,492,820,0,0,0,0,slowloris
20353328,64.46120261020704,0.4913201418460902,0.2456600709230451,0.2456600709230451,5,5,492,820,220,66,98.4,60.878896179217975,548,66,164,192.0249983726077,548,66,131.2,146.17031162311997,21365.760000000002,168,168,32,64.4,130,1,2261480.888888889,20307936,22,6380393.896317294,20353282,20308080,371,5088320.5,8787140.112406667,20353295,20307936,22,5088323.75,8787055.284344248,1,1,0,0,2,2,0,2,9,0,0,0,1,131.2,64240,65535,132305,66246,66059,13230.5,13249.2,13211.8,25830.65461133341,25495.400003922277,26161.599999999995,65535,64240,65535,131,501,131,0,33281,12111,22696,10585,20307936,20307936,20307936,0,5,5,492,820,0,0,0,0,slowloris
20354897,64.4562338,0.4912822698144825,0.24564113490724124,0.24564113490724124,5,5,492,820,220,66,98.4,60.878896179217975,548,66,164,192.0249983726077,548,66,131.2,146.17031162311997,21365.760000000002,168,168,32,64.4,130,1,2261655.222222222,20328672,26,6387657.109621209,20354865,20329187,379,5088716.25,8799091.368,20354865,20328672,87,5088716.25,8798794.201203974,1,1,0,0,2,2,0,2,9,0,0,0,1,131.2,64240,65535,132305,66246,66059,13230.5,13249.2,13211.8,25830.65461133341,25495.400003922277,26161.599999999995,65535,64240,65535,131,501,131,0,14522,11703,13112.5,1409.5,20328672,20328672,20328672,0,5,5,492,820,0,0,0,0,slowloris
20343740,64.49158316,0.4915517009163507,0.24577585045817535,0.24577585045817535,5,5,492,820,220,66,98.4,60.878896179217975,548,66,164,192.0249983726077,548,66,131.2,146.17031162311997,21365.760000000002,168,168,32,64.4,130,1,2260415.5555555555,20317863,16,6384273.817110814,20343689,20318267,341,5085922.25,8794399.812690329,20343700,20317863,16,5085925,8794165.143458162,1,1,0,0,2,2,0,2,9,0,0,0,1,131.2,64240,65535,132305,66246,66059,13230.5,13249.2,13211.8,25830.65461133341,25495.400003922277,26161.599999999995,65535,64240,65535,131,501,131,0,14419,11458,12938.5,1480.5,20317863,20317863,20317863,0,5,5,492,820,0,0,0,0,slowloris
20355124,64.45551498482642,0.49127679104288435,0.24563839552144218,0.24563839552144218,5,5,492,820,220,66,98.4,60.878896179217975,548,66,164,192.0249983726077,548,66,131.2,146.17031162311997,21365.760000000002,168,168,32,64.4,130,1,2261680.4444444445,20325090,27,6386382.560888965,20355095,20325530,311,5088773.75,8796947.466,20355091,20325090,75,5088772.75,8796694.172237528,1,1,0,0,2,2,0,2,9,0,0,0,1,131.2,64240,65535,132305,66246,66059,13230.5,13249.2,13211.8,25830.65461133341,25495.400003922277,26161.599999999995,65535,64240,65535,131,501,131,0,17735,12299,15017,2718,20325090,20325090,20325090,0,5,5,492,820,0,0,0,0,slowloris
20370745,64.40608824075899,0.49090006281066306,0.24545003140533153,0.24545003140533153,5,5,492,820,220,66,98.4,60.878896179217975,548,66,164,192.0249983726077,548,66,131.2,146.17031162311997,21365.760000000002,168,168,32,64.4,130,1,2263416.111111111,20328323,31,6386914.946141985,20370709,20328514,282,5092677.25,8796418.793404603,20370714,20328323,53,5092678.5,8796307.960070932,1,1,0,0,2,2,0,2,9,0,0,0,1,131.2,64240,65535,132305,66246,66059,13230.5,13249.2,13211.8,25830.65461133341,25495.400003922277,26161.599999999995,65535,64240,65535,131,501,131,0,24375,18047,21211,3164,20328323,20328323,20328323,0,5,5,492,820,0,0,0,0,slowloris
20386589,67.59345567814213,0.5395704009140518,0.29431112777130103,0.24525927314275084,6,5,558,820,220,66,93,56.871199506721624,548,66,164,192.0249983726077,548,66,125.27272727272727,140.62270016484854,19774.743801652894,200,168,32,59,130,1,2038658.9,20324357,18,6095250.195,20386571,20324561,398,4077314.2,8123643.116893637,20386559,20324357,43,5096639.75,8791746.151514482,1,1,0,0,2,2,0,2,10,0,0,0,0.8333333333333334,125.27272727272727,64240,65535,132806,66747,66059,12073.272727272728,11124.5,13211.8,24898.952920996162,23753.973735987838,26161.599999999995,65535,64240,65535,131,501,131,0,50217,12015,31116,19101,20324357,20324357,20324357,0,6,5,558,820,0,0,0,0,slowloris
20375087,64.39236309,0.49079545034580707,0.24539772517290354,0.24539772517290354,5,5,492,820,220,66,98.4,60.878896179217975,548,66,164,192.0249983726077,548,66,131.2,146.17031162311997,21365.760000000002,168,168,32,64.4,130,1,2263898.5555555555,20328808,25,6386918.801843693,20375042,20329325,331,5093760.5,8796265.571722966,20375056,20328808,85,5093764,8795965.374,1,1,0,0,2,2,0,2,9,0,0,0,1,131.2,64240,65535,132305,66246,66059,13230.5,13249.2,13211.8,25830.65461133341,25495.400003922277,26161.599999999995,65535,64240,65535,131,501,131,0,34436,11843,23139.5,11296.5,20328808,20328808,20328808,0,5,5,492,820,0,0,0,0,slowloris
20376992,64.38634318549077,0.4907495669625821,0.24537478348129105,0.24537478348129105,5,5,492,820,220,66,98.4,60.878896179217975,548,66,164,192.0249983726077,548,66,131.2,146.17031162311997,21365.760000000002,168,168,32,64.4,130,1,2264110.222222222,20325361,30,6385628.0671187565,20376954,20325705,353,5094238.5,8793902.554054301,20376961,20325361,47,5094240.25,8793703.222820843,1,1,0,0,2,2,0,2,9,0,0,0,1,131.2,64240,65535,132305,66246,66059,13230.5,13249.2,13211.8,25830.65461133341,25495.400003922277,26161.599999999995,65535,64240,65535,131,501,131,0,39457,12174,25815.5,13641.5,20325361,20325361,20325361,0,5,5,492,820,0,0,0,0,slowloris
20365503,67.66344047578889,0.5401290604017981,0.2946158511282535,0.24551320927354459,6,5,558,820,220,66,93,56.871199506721624,548,66,164,192.0249983726077,548,66,125.27272727272727,140.62270016484854,19774.743801652894,200,168,32,59,130,1,2036550.3,20308959,0,6090816.043172294,20365450,20309347,0,4073090,8118142.903860143,20365466,20308959,61,5091366.5,8785894.317079552,1,1,0,0,2,2,0,2,10,0,0,0,0.8333333333333334,125.27272727272727,64240,65535,132806,66747,66059,12073.272727272728,11124.5,13211.8,24898.952920996162,23753.973735987838,26161.599999999995,65535,64240,65535,131,501,131,0,42398,14146,28272,14126,20308959,20308959,20308959,0,6,5,558,820,0,0,0,0,slowloris
20367135,64.41750398374636,0.49098707304684724,0.24549353652342362,0.24549353652342362,5,5,492,820,220,66,98.4,60.878896179217975,548,66,164,192.0249983726077,548,66,131.2,146.17031162311997,21365.760000000002,168,168,32,64.4,130,1,2263015,20326981,23,6386582.649940734,20367112,20327325,408,5091778,8796252.692793192,20367103,20326981,62,5091775.75,8796055.609926399,1,1,0,0,2,2,0,2,9,0,0,0,1,131.2,64240,65535,132305,66246,66059,13230.5,13249.2,13211.8,25830.65461133341,25495.400003922277,26161.599999999995,65535,64240,65535,131,501,131,0,28439,11715,20077,8362,20326981,20326981,20326981,0,5,5,492,820,0,0,0,0,slowloris
20367608,64.41600800643846,0.4909756707807809,0.24548783539039046,0.24548783539039046,5,5,492,820,220,66,98.4,60.878896179217975,548,66,164,192.0249983726077,548,66,131.2,146.17031162311997,21365.760000000002,168,168,32,64.4,130,1,2263067.5555555555,20327330,18,6386687.186095587,20367590,20327588,232,5091897.5,8796335.033906806,20367576,20327330,73,5091894,8796188.223407483,1,1,0,0,2,2,0,2,9,0,0,0,1,131.2,64240,65535,132305,66246,66059,13230.5,13249.2,13211.8,25830.65461133341,25495.400003922277,26161.599999999995,65535,64240,65535,131,501,131,0,27059,13219,20139,6920,20327330,20327330,20327330,0,5,5,492,820,0,0,0,0,slowloris
20354980,64.45597097123161,0.4912802665490214,0.2456401332745107,0.2456401332745107,5,5,492,820,220,66,98.4,60.878896179217975,548,66,164,192.0249983726077,548,66,131.2,146.17031162311997,21365.760000000002,168,168,32,64.4,130,1,2261664.4444444445,20324789,28,6386281.884393351,20354945,20325260,221,5088736.25,8796813.355554992,20354949,20324789,76,5088737.25,8796540.989781335,1,1,0,0,2,2,0,2,9,0,0,0,1,131.2,64240,65535,132305,66246,66059,13230.5,13249.2,13211.8,25830.65461133341,25495.400003922277,26161.599999999995,65535,64240,65535,131,501,131,0,18305,11886,15095.5,3209.5,20324789,20324789,20324789,0,5,5,492,820,0,0,0,0,slowloris
